unique_id,rel_x_1,rel_y_1,rel_x_2,rel_y_2,rel_x_3,rel_y_3,rel_x_4,rel_y_4,rel_x_5,rel_y_5,rel_x_6,rel_y_6,rel_x_7,rel_y_7,nn_1_dx,nn_1_dy,nn_1_dvx,nn_1_dvy,nn_1_approach,nn_2_dx,nn_2_dy,nn_2_dvx,nn_2_dvy,nn_2_approach,nn_3_dx,nn_3_dy,nn_3_dvx,nn_3_dvy,nn_3_approach,delta_x_1,delta_y_1,delta_x_2,delta_y_2,delta_x_3,delta_y_3,delta_x_4,delta_y_4,delta_x_5,delta_y_5
hotel_101,-0.10289700000000002,0.16754449999999999,-0.10289700000000002,0.16754449999999999,-0.11868381000000006,0.18667813999999971,-0.12043789999999999,0.18880410000000225,-0.05732260999999994,0.11230806000000015,-0.0040300000000002,0.02844276999999984,0.00011121999999996746,0.002006879999999711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016751249999999995,-0.0010241999999998086
hotel_101,-0.10289700000000002,0.16754449999999999,-0.11868381000000006,0.18667813999999971,-0.12043789999999999,0.18880410000000225,-0.05732260999999994,0.11230806000000015,-0.0040300000000002,0.02844276999999984,0.00011121999999996746,0.002006879999999711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016751249999999995,-0.0010241999999998086,0.01861249999999992,-0.0011379999999974189
hotel_101,-0.11868381000000006,0.18667813999999971,-0.12043789999999999,0.18880410000000225,-0.05732260999999994,0.11230806000000015,-0.0040300000000002,0.02844276999999984,0.00011121999999996746,0.002006879999999711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016751249999999995,-0.0010241999999998086,0.01861249999999992,-0.0011379999999974189,0.01861249999999992,-0.0011379999999974189
hotel_101,-0.12043789999999999,0.18880410000000225,-0.05732260999999994,0.11230806000000015,-0.0040300000000002,0.02844276999999984,0.00011121999999996746,0.002006879999999711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016751249999999995,-0.0010241999999998086,0.01861249999999992,-0.0011379999999974189,0.01861249999999992,-0.0011379999999974189,0.01861249999999992,-0.0011379999999974189
hotel_101,-0.05732260999999994,0.11230806000000015,-0.0040300000000002,0.02844276999999984,0.00011121999999996746,0.002006879999999711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016751249999999995,-0.0010241999999998086,0.01861249999999992,-0.0011379999999974189,0.01861249999999992,-0.0011379999999974189,0.01861249999999992,-0.0011379999999974189,0.01861249999999992,-0.0011379999999974189
hotel_101,-0.020781250000000195,0.029466969999999648,-0.016640030000000028,0.0030310799999995197,-0.016751249999999995,0.0010241999999998086,-0.016751249999999995,0.0010241999999998086,-0.016751249999999995,0.0010241999999998086,-0.016751249999999995,0.0010241999999998086,-0.016751249999999995,0.0010241999999998086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018612499999999255,-0.00011379999999761026,0.0018612499999999255,-0.00011379999999761026,0.0018612499999999255,-0.00011379999999761026,0.0018612499999999255,-0.00011379999999761026,0.0018612499999999255,-0.00011379999999761026
hotel_101,-0.018501279999999953,0.00314487999999713,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.0018612499999999255,0.00011379999999761026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotel_101,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.0018612499999999255,0.00011379999999761026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotel_101,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.0018612499999999255,0.00011379999999761026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotel_101,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.01861249999999992,0.0011379999999974189,-0.0018612499999999255,0.00011379999999761026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
